nm_municipio	ds_cargo	nm_candidato	sg_partido	ds_composicao_coligacao	ds_sit_tot_turno	qt_votos_nom_validos
ALVARÃES	Deputado Federal	ADAIL JOSÉ FIGUEIREDO PINHEIRO	REPUBLICANOS	REPUBLICANOS	Eleito por média	825
ALVARÃES	Deputado Federal	SILAS CÂMARA	REPUBLICANOS	REPUBLICANOS	Eleito por QP	942
ALVARÃES	Deputado Federal	AUGUSTO CESAR PAULA DE ANDRADE	REPUBLICANOS	REPUBLICANOS	Suplente	0
ALVARÃES	Deputado Federal	EDSON CARLOS DE DEUS CASTILHO	REPUBLICANOS	REPUBLICANOS	Não eleito	0
ALVARÃES	Deputado Federal	RODRIGO GUEDES OLIVEIRA DE ARAUJO	REPUBLICANOS	REPUBLICANOS	Suplente	13
ALVARÃES	Deputado Federal	JOÃO CARLOS DOS SANTOS MELLO	REPUBLICANOS	REPUBLICANOS	Suplente	268
ALVARÃES	Deputado Federal	MARIA MIRTES SALES DE OLIVEIRA	REPUBLICANOS	REPUBLICANOS	Suplente	0
ALVARÃES	Deputado Federal	RAIMUNDA NONATA DE MELO MARTINS	REPUBLICANOS	REPUBLICANOS	Suplente	4
ALVARÃES	Deputado Federal	NICIA ANDREA MOTA MEDEIROS	REPUBLICANOS	REPUBLICANOS	Suplente	0
ALVARÃES	Deputado Federal	ALAN KARDECK PEREIRA AMAZONAS	PDT	PDT	Não eleito	2
ALVARÃES	Deputado Federal	PAULO HENRIQUE DA PAIXÃO E SILVA JUNIOR	PDT	PDT	Não eleito	0
ALVARÃES	Deputado Federal	WANESSA SIMÕES PACHECO	PDT	PDT	Não eleito	3
ALVARÃES	Deputado Federal	ISMAEL FRANKLIN GONÇALVES	PDT	PDT	Não eleito	0
ALVARÃES	Deputado Federal	MARIO RUBENS MACEDO VIANNA	PDT	PDT	Não eleito	1
ALVARÃES	Deputado Federal	CHRISTIANI MARIA MENDES BARROS	PDT	PDT	Não eleito	1
ALVARÃES	Deputado Federal	PEDRINHA LASMAR CRUZ	PDT	PDT	Não eleito	1
ALVARÃES	Deputado Federal	GELSON DO NASCIMENTO ALBUQUERQUE	PDT	PDT	Não eleito	1
